id,professor,position,field,capacity,Affiliation,papers,papersURL,guidanceURL
1,伊藤 寛祥,助教,機械学習、ソーシャルネットワーク分析、ヒューマンコンピューテーション,3,知識情報システム、知識科学(協),センサー未設置地点における定点風速予測の精度向上、クラウドソーシングにおけるワーカの回答根拠を用いたラベル集約 、個人嗜好のベイズ最適化におけるクラスタリング を用いたドメイン間の転移学習 ,"https://klis.tsukuba.ac.jp/archives/2024/202110909a.pdf , https://klis.tsukuba.ac.jp/archives/2024/202111277a.pdf , https://klis.tsukuba.ac.jp/archives/2024/202111993a.pdf",https://klis.tsukuba.ac.jp/2342.html
2,宇陀 則彦,教授,デジタルヒューマニティーズ、電子図書館、知識情報学、情報資源管理,3,知識情報システム,アーカイブ資料専用の対話型システムの構築、配架方法を読み解くことによるプロジェクション本棚の開発、物語分析とショット分析から見る『たまこラブストーリー』の主題 －彼女が気付いたものとはなにか－、デジタルライブラリにおける文献到達可能性,"https://klis.tsukuba.ac.jp/archives/2024/202110653a.pdf , https://klis.tsukuba.ac.jp/archives/2024/202110753a.pdf , https://klis.tsukuba.ac.jp/archives/2024/202111006a.pdf , https://klis.tsukuba.ac.jp/archives/2024/202111467a.pdf",https://klis.tsukuba.ac.jp/2314.html
3,大澤 文人,助教,教育におけるマルチメディアの活用、教育におけるコンピュータの活用,3,知識情報システム,数学教育の授業におけるICTの活用と 生徒の数学へのモチベーションの関係について,https://klis.tsukuba.ac.jp/archives/2024/202111520a.pdf,https://klis.tsukuba.ac.jp/2307.html
4,加藤 誠,准教授,Webマイニング、情報検索、オープンデータ,3,知識情報システム、知識科学(協),大規模言語モデルを用いた検索結果の クリックシミュレーション、外部文書検索による大規模言語モデルのデータ予測性能の改善、異なる言語における検索クエリ形式の性能評価、「思い出せない」既知アイテム検索における誤りを含むクエリの処理方法、密検索モデルのフレーズクエリ解釈能力の評価、数値条件を含むクエリに対する密検索モデルの性能評価、逆学習を用いた検索用学習データセットの蒸留,"https://klis.tsukuba.ac.jp/archives/2024/201811537a.pdf , https://klis.tsukuba.ac.jp/archives/2024/202111118a.pdf , https://klis.tsukuba.ac.jp/archives/2024/202111748a.pdf , https://klis.tsukuba.ac.jp/archives/2024/202212070a.pdf , https://klis.tsukuba.ac.jp/archives/2024/202213594a.pdf , https://klis.tsukuba.ac.jp/archives/2024/202313638a.pdf , https://klis.tsukuba.ac.jp/archives/2024/202313950a.pdf",https://klis.tsukuba.ac.jp/2341.html
5,金 宣経,助教,ヒューマンロボット/コンピュータインタラクション、コミュニケーション支援、認知科学,3,知識情報システム,信頼性判断をサポートする検索インターフェースの提案 —情報探索行動の変化を中心に—、VRによる視覚的錯覚を通じた現実世界の物体の重量知覚操作、情報リテラシーの理解を深めるためのゲーミフィケーションシステムの提案、感情の可視化および感情認識に関する研究 ,"https://klis.tsukuba.ac.jp/archives/2024/202011615a.pdf , https://klis.tsukuba.ac.jp/archives/2024/202110087a.pdf , https://klis.tsukuba.ac.jp/archives/2024/202110692a.pdf , https://klis.tsukuba.ac.jp/archives/2024/202313807a.pdf",https://klis.tsukuba.ac.jp/2348.html
6,阪口 哲男,准教授,Linked Dataに関する開発支援、クラウドソーシング基盤技術と応用、情報共有・伝達の技術基盤開発,3,知識情報システム,LODを参照しているドキュメントを利用した検索支援、地域アーカイブにおける注釈付与支援のための画像推薦、動的型付けプログラミング言語HSPにおける静的型付け導入に関する研究,"https://klis.tsukuba.ac.jp/archives/2024/202110663a.pdf , https://klis.tsukuba.ac.jp/archives/2024/202113012a.pdf , https://klis.tsukuba.ac.jp/archives/2024/202313881a.pdf",https://klis.tsukuba.ac.jp/2315.html
7,鈴木 伸崇,教授,"構造化文書、データベース、データ工学,アルゴリズム",3,知識情報システム,LLMによるSPARQL問合せ式作成支援、ウェブサイト作成初心者のための デザインテンプレートの推薦・適用手法、選好が半順序型の場合における選好の拡張について,"https://klis.tsukuba.ac.jp/archives/2024/202110932a.pdf , https://klis.tsukuba.ac.jp/archives/2024/202111650a.pdf , https://klis.tsukuba.ac.jp/archives/2024/202213534a.pdf",https://klis.tsukuba.ac.jp/2316.html
8,関 洋平,教授,情報アクセス、自然言語処理、コミュニケーション支援,3,知識情報システム,企業レポート中の ESG に関する公約の検証可能性の判別、メタバースにおけるアバターの表情と発話の感情の一貫性の分析、対話データを利用したキャラクター特徴を持つ会話の生成、構成要素に注目した囲碁解説文の分類,"https://klis.tsukuba.ac.jp/archives/2024/202110727a.pdf , https://klis.tsukuba.ac.jp/archives/2024/202110938a.pdf , https://klis.tsukuba.ac.jp/archives/2024/202111712a.pdf , https://klis.tsukuba.ac.jp/archives/2024/202111863a.pdf",https://klis.tsukuba.ac.jp/2317.html
9,時井 真紀,講師,情報表現、計算物理、計算機シミュレーション,3,知識情報システム,空手の組手競技における言語化支援システムの開発と検証、絵画鑑賞を通して数学への興味を惹き出す手法の提案、江戸時代を学ぶ浮世絵散策システムの構築、江戸の町を探索しながら学ぶ歴史教育ゲームの開発,"https://klis.tsukuba.ac.jp/archives/2024/202010458a.pdf , https://klis.tsukuba.ac.jp/archives/2024/202111493a.pdf , https://klis.tsukuba.ac.jp/archives/2024/202111638a.pdf , https://klis.tsukuba.ac.jp/archives/2024/202111839a.pdf",https://klis.tsukuba.ac.jp/2333.html
10,永井 正勝,教授,博物館情報学、文化遺産のデジタル化、言語と文字体系,3,知識情報システム,,,https://klis.tsukuba.ac.jp/2319.html
11,松村 敦,助教,絵本推薦、情報探索、情報検索、情報推薦、Web情報システム,3,知識情報システム,書架における情報探索行動の分析、マンガを用いた読解指導による混成型テキストの読解力の向上、レファレンスサービスの手法を用いた図書推薦システムの提案、実際のサイズを反映した書影が絵本選択に与える影響,"https://klis.tsukuba.ac.jp/archives/2024/202110182a.pdf , https://klis.tsukuba.ac.jp/archives/2024/202111078a.pdf , https://klis.tsukuba.ac.jp/archives/2024/202111173a.pdf , https://klis.tsukuba.ac.jp/archives/2024/202111531a.pdf",https://klis.tsukuba.ac.jp/2320.html
12,山本 修平,准教授,行動モデリング、マルチモーダルデータ分析、機械学習,3,知識情報システム、知識科学(協),,,https://klis.tsukuba.ac.jp/2352.html
13,于 海涛,准教授,機械学習、知識グラフ・情報知能、情報検索,3,知識科学、知識情報システム(協),複数モデルの融合による推薦バイアスの緩和,https://klis.tsukuba.ac.jp/archives/2024/201911505a.pdf,
14,上保 秀夫,教授,ヒューマンインタラクション、ユーザインタフェース、情報検索システム,3,知識科学,,,https://klis.tsukuba.ac.jp/2309.html
15,辻 慶太,准教授,シソーラスの自動構築、レファレンスサービス、図書推薦システム,3,知識科学,貧困家庭の子どもの公共図書館の利用目的と満足度、公立図書館のレファレンスサービスにおける変容と展望 －2009年と現在における比較分析－、公共図書館における学習⽀援サービス利⽤の現状と課題 ―利⽤者／潜在的利⽤者の意識調査―,"https://klis.tsukuba.ac.jp/archives/2024/202111370a.pdf , https://klis.tsukuba.ac.jp/archives/2024/202111498a.pdf , https://klis.tsukuba.ac.jp/archives/2024/202313883a.pdf",https://klis.tsukuba.ac.jp/2318.html
16,寺地 美奈子,助教,映像文化論、メディア社会学、メディア技術史,3,知識科学,,,
17,照山 絢子,准教授,文化人類学、医療人類学、コミュニケーション学,3,知識科学,情報の認識・取得・活用におけるADHD者の困難の体験に関する研究 －ADHD者のための情報保障に向けて－、行政職員と移住者の語りから見る地域移住の現状 －愛媛県八幡浜市を例に－、X ジェンダーの職場における アイデンティティ表現とインクルージョン 、子どもから見たステップファミリー －家族内呼称や苗字をめぐって－,"https://klis.tsukuba.ac.jp/archives/2024/202010108a.pdf , https://klis.tsukuba.ac.jp/archives/2024/202110802a.pdf , https://klis.tsukuba.ac.jp/archives/2024/202113015a.pdf , https://klis.tsukuba.ac.jp/archives/2024/202213543a.pdf",https://klis.tsukuba.ac.jp/2334.html
18,真栄城 哲也,教授,生命現象の解析、さまざまなモノの情報性、専門知識の利用,3,知識科学、知識情報システム(協),人と犬の性格マッチングについて、複数視点による動画共創アプリの開発と評価、UNIDOLにおける評価の特徴と勝敗について ,"https://klis.tsukuba.ac.jp/archives/2024/202110028a.pdf , https://klis.tsukuba.ac.jp/archives/2024/202111697a.pdf , https://klis.tsukuba.ac.jp/archives/2024/202111874a.pdf",https://klis.tsukuba.ac.jp/2310.html
19,松林 麻実子,講師,情報行動、メディア分析、コミュニケーション,3,知識科学、情報資源経営(協),スマートフォンゲームへの課金行動に関する文献調査、美容系YouTuberの動画分析から見る化粧品紹介の特徴、日本のSNSにおけるセクシュアルマイノリティの多様な体験,"https://klis.tsukuba.ac.jp/archives/2024/202110712a.pdf , https://klis.tsukuba.ac.jp/archives/2024/202111990a.pdf , https://klis.tsukuba.ac.jp/archives/2024/202112091a.pdf",https://klis.tsukuba.ac.jp/2311.html
20,松原 正樹,准教授,身体知 / 暗黙知、認知科学、感性情報学、表現芸術療法,3,知識科学,ワインソムリエとしてのサービスにおける身体知 － 響く「言葉」と 選択する「行為」による付加価値の提供 －、サッカープレーヤーとしての自分史上最高到達点の探求 -「虚実」の駆け引きによるビルドアップスキルの体、非職業画家による長期的描画実践がもたらす一人称的効果と意義 －一人称研究とアートベース・リサーチの複合的視点から見る、生きる軌跡－、エコロジカルアプローチがサッカーの中学女子 選手の認知能力に与える影響、相互協調体験による音楽合奏の間合い体得支援システム ,"https://klis.tsukuba.ac.jp/archives/2024/201911464a.pdf , https://klis.tsukuba.ac.jp/archives/2024/202111675a.pdf , https://klis.tsukuba.ac.jp/archives/2024/202111948a.pdf , https://klis.tsukuba.ac.jp/archives/2024/202112121a.pdf , https://klis.tsukuba.ac.jp/archives/2024/202313752a.pdf",https://klis.tsukuba.ac.jp/2347.html
